"trophic_group","estimate","std.error","t_value","n","r.squared","p_adj"
"Autotroph",-0.395,0.088,-4.486,68,0.234,5.94e-05
"Mixotroph",1.013,0.16,6.321,43,0.494,6.04e-07
"Herbivore",0.435,0.168,2.588,40,0.15,0.0181
"Non-herbivore",-0.148,0.139,-1.069,38,0.031,0.292
