"target_taxon"
"Aphanizomenon"
"Aphanocapsa"
"Aulacoseira"
"Dolichospermum"
"Geitlerinema"
"Limnothrix"
"Microcystis"
"Mougeotia"
"Phormidium"
"Planktolyngbya"
"Planktothrix"
"Pseudanabaena"
"Romeria"
"Spondylosium"
"Ulothrix"
"Woronichinia"
"Lyngbya"
